User_ID,Age,Gender,Occupation,Relationship_Status,Primary_Platform,Daily_Usage_Hours,Platforms_Used_Count,Posts_Per_Week,Late_Night_Usage,First_Check_Morning,Notifications_Per_Day,FOMO_Score,Social_Comparison_Score,Validation_Seeking_Score,Scroll_Without_Purpose,Tried_To_Cut_Back,Failed_To_Cut_Back,Anxiety_Score,Depression_Score,Loneliness_Score,Self_Esteem_Score,Sleep_Quality_Score,Sleep_Hours,Productivity_Loss_Score,Offline_Relationship_Quality,Physical_Activity_Hrs_Week,Screen_Free_Time_Hrs,Mental_Wellbeing_Score,Addiction_Level
USR00018,23,FEMALE,FREELANCER,IN A RELATIONSHIP,YOUTUBE,5.1,2,4,true,WITHIN 5 MIN,36,5.5,6.7,5.4,6.8,false,false,7.9,9.7,4.6,2.6,3.4,7.7,3.2,5.5,5.3,7.1,6.0,HIGH
USR00020,21,FEMALE,STUDENT,SINGLE,FACEBOOK,4.3,4,5,false,5-30 MIN,99,6.7,1.9,6.1,8.4,false,true,5.1,1.2,6.5,4.3,6.4,6.7,5.0,4.3,1.5,2.6,5.6,HIGH
USR00021,19,FEMALE,WORKING PROFESSIONAL,SINGLE,FACEBOOK,3.7,3,4,true,AFTER 30 MIN,56,1.4,3.0,4.1,0.5,false,true,4.4,3.6,7.3,6.1,6.1,5.2,5.8,8.4,2.4,0.0,9.3,LOW
USR00022,31,FEMALE,STUDENT,IN A RELATIONSHIP,INSTAGRAM,2.9,3,3,false,AFTER 30 MIN,58,5.2,5.6,4.1,5.9,true,true,4.2,2.0,6.3,3.8,6.1,4.8,2.4,6.0,2.4,4.8,6.7,LOW
USR00023,22,MALE,STUDENT,SINGLE,INSTAGRAM,8.7,2,3,true,WITHIN 5 MIN,108,5.6,3.4,3.1,4.8,false,true,4.9,5.8,4.7,7.5,5.2,5.9,4.5,5.1,2.9,3.4,5.1,SEVERE
USR00024,27,FEMALE,UNEMPLOYED,SINGLE,SNAPCHAT,5.1,4,6,true,AFTER 30 MIN,71,4.0,4.7,6.8,6.0,true,false,4.3,3.5,4.9,6.3,8.9,9.1,3.9,9.5,0.8,4.3,7.5,LOW
USR00025,15,MALE,UNKNOWN,SINGLE,TIKTOK,6.0,2,4,false,AFTER 30 MIN,63,8.6,2.6,6.6,7.7,false,true,2.8,2.0,1.6,2.8,5.8,8.3,3.3,8.8,2.2,6.0,6.5,MODERATE
USR00026,26,MALE,STUDENT,IN A RELATIONSHIP,INSTAGRAM,10.4,4,8,true,5-30 MIN,85,5.4,7.1,3.0,3.6,true,false,4.7,6.2,3.2,7.5,3.7,5.1,7.9,6.0,5.8,5.0,5.8,HIGH
USR00027,38,FEMALE,FREELANCER,MARRIED,YOUTUBE,4.4,7,4,true,AFTER 30 MIN,45,3.8,9.3,3.2,8.6,false,true,0.0,0.8,1.4,5.0,4.9,6.0,10.0,4.7,3.6,3.1,6.9,HIGH
USR00028,41,MALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,TIKTOK,3.0,2,3,false,WITHIN 5 MIN,5,5.7,6.6,0.0,3.1,false,false,5.2,3.1,4.9,8.9,6.3,7.6,1.4,7.1,2.9,3.7,8.5,LOW
USR00029,21,NON-BINARY,WORKING PROFESSIONAL,IN A RELATIONSHIP,INSTAGRAM,0.8,1,5,false,WITHIN 5 MIN,87,6.8,5.7,5.5,5.8,true,true,5.5,3.7,5.1,9.0,7.7,6.7,10.0,2.7,4.6,4.0,4.6,SEVERE
USR00030,34,FEMALE,STUDENT,SINGLE,TIKTOK,1.4,1,4,false,WITHIN 5 MIN,82,4.0,5.4,2.8,4.5,true,false,8.4,4.2,5.4,5.5,6.0,6.9,6.1,5.2,3.6,4.3,7.6,LOW
USR00031,43,MALE,WORKING PROFESSIONAL,SINGLE,TWITTER/X,4.4,7,4,false,WITHIN 5 MIN,68,5.8,5.1,4.7,7.0,true,true,6.2,2.7,1.9,4.4,6.0,8.2,8.9,5.8,5.2,5.3,5.8,HIGH
USR00032,27,MALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,TIKTOK,1.5,5,6,false,WITHIN 5 MIN,5,3.0,8.7,6.5,6.7,true,true,5.8,3.8,4.0,6.0,4.6,7.5,5.4,5.7,2.7,0.4,5.6,HIGH
USR00033,20,MALE,STUDENT,IN A RELATIONSHIP,FACEBOOK,0.5,2,7,false,5-30 MIN,52,7.3,8.9,3.0,5.2,true,false,7.1,2.3,5.6,6.7,5.9,8.6,2.8,4.2,3.6,3.9,5.8,MODERATE
USR00034,39,FEMALE,STUDENT,SINGLE,INSTAGRAM,4.6,2,3,true,5-30 MIN,75,5.7,9.3,1.6,8.1,false,true,0.6,3.3,3.4,4.9,7.1,5.3,5.8,6.8,2.9,1.4,5.8,HIGH
USR00035,39,FEMALE,FREELANCER,MARRIED,TWITTER/X,4.3,2,2,true,WITHIN 5 MIN,53,5.7,2.4,1.3,8.6,true,false,4.2,5.6,3.1,4.5,3.0,5.3,7.1,8.4,3.9,3.4,7.7,LOW
USR00036,38,MALE,WORKING PROFESSIONAL,SINGLE,INSTAGRAM,8.2,4,8,false,5-30 MIN,64,5.4,2.9,6.4,3.4,true,true,6.8,3.7,4.2,7.6,8.1,4.8,7.3,7.8,2.5,4.3,6.2,HIGH
USR00037,36,FEMALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,SNAPCHAT,1.3,7,2,true,WITHIN 5 MIN,95,4.6,10.0,5.9,4.4,true,true,9.6,5.8,6.4,5.6,7.2,6.7,3.9,4.8,1.7,6.2,3.5,SEVERE
USR00038,31,NON-BINARY,STUDENT,IN A RELATIONSHIP,INSTAGRAM,6.7,5,5,true,AFTER 30 MIN,5,5.9,6.5,1.5,4.5,true,true,4.0,3.5,4.6,3.6,3.8,7.9,8.2,5.4,0.8,2.6,5.4,SEVERE
USR00040,44,NON-BINARY,WORKING PROFESSIONAL,SINGLE,INSTAGRAM,7.3,4,5,false,WITHIN 5 MIN,73,5.2,6.3,8.1,9.3,false,false,8.4,5.4,4.6,10.0,6.6,4.2,4.0,2.8,4.2,3.1,4.3,SEVERE
USR00041,15,FEMALE,STUDENT,IN A RELATIONSHIP,FACEBOOK,5.1,4,7,false,AFTER 30 MIN,97,4.8,5.3,4.5,5.2,false,true,3.7,1.4,5.9,5.2,5.6,8.7,6.4,6.3,1.2,5.6,8.0,LOW
USR00043,39,FEMALE,WORKING PROFESSIONAL,MARRIED,TIKTOK,7.2,1,6,false,WITHIN 5 MIN,80,7.9,7.5,1.2,8.7,false,false,3.2,3.2,1.2,6.4,6.8,6.4,7.4,5.2,3.1,5.4,6.6,MODERATE
USR00044,24,MALE,UNEMPLOYED,SINGLE,INSTAGRAM,4.9,4,5,false,5-30 MIN,89,9.2,3.7,6.5,7.9,false,true,6.7,3.4,0.1,4.4,6.2,6.8,4.0,5.4,4.8,2.8,5.5,HIGH
USR00045,29,FEMALE,FREELANCER,SINGLE,TIKTOK,5.8,2,1,false,AFTER 30 MIN,124,7.5,2.3,5.8,5.3,false,false,4.3,6.3,6.6,5.2,6.8,7.2,6.9,7.2,1.1,4.4,6.1,MODERATE
USR00046,21,FEMALE,STUDENT,IN A RELATIONSHIP,FACEBOOK,4.6,1,2,true,5-30 MIN,114,1.2,8.9,7.8,8.0,true,false,4.5,4.2,5.9,10.0,1.0,4.5,5.3,5.1,3.8,1.8,6.9,MODERATE
USR00047,19,UNKNOWN,STUDENT,SINGLE,TWITTER/X,7.0,4,2,false,AFTER 30 MIN,27,6.5,6.3,4.5,5.1,true,false,5.2,3.9,4.3,3.7,10.0,5.0,5.0,4.4,4.8,3.7,8.2,LOW
USR00048,29,MALE,STUDENT,SINGLE,TIKTOK,4.4,4,4,true,AFTER 30 MIN,38,4.0,6.6,4.3,5.1,false,true,1.7,1.2,3.6,4.7,3.3,5.3,0.0,6.0,2.1,3.9,7.1,MODERATE
USR00049,24,MALE,STUDENT,SINGLE,INSTAGRAM,4.4,1,4,false,WITHIN 5 MIN,17,5.2,5.9,7.5,7.7,true,false,5.9,3.8,4.6,8.0,6.7,6.5,4.7,7.8,4.8,3.9,6.7,MODERATE
USR00051,18,MALE,STUDENT,MARRIED,TIKTOK,2.7,2,3,false,WITHIN 5 MIN,104,3.1,2.4,7.4,8.9,true,true,0.4,6.7,1.6,6.5,6.0,8.0,6.5,6.5,1.8,1.0,6.6,MODERATE
USR00052,18,FEMALE,STUDENT,IN A RELATIONSHIP,TIKTOK,6.2,4,1,false,WITHIN 5 MIN,18,6.3,4.0,4.0,8.1,false,false,5.3,0.0,5.8,3.1,7.7,6.7,4.4,3.9,2.4,2.8,6.6,MODERATE
USR00053,23,FEMALE,WORKING PROFESSIONAL,SINGLE,YOUTUBE,5.8,4,5,true,WITHIN 5 MIN,32,6.1,6.3,5.5,8.4,false,true,8.3,10.0,4.6,1.2,7.6,3.3,6.1,7.7,4.9,2.1,3.0,SEVERE
USR00054,34,FEMALE,UNEMPLOYED,SINGLE,YOUTUBE,5.1,5,2,true,AFTER 30 MIN,74,8.0,6.1,2.9,2.9,true,false,3.5,1.1,4.0,3.0,3.7,5.4,7.6,5.9,0.0,2.8,7.1,MODERATE
USR00056,16,MALE,STUDENT,MARRIED,TIKTOK,3.3,2,4,true,WITHIN 5 MIN,60,2.4,2.2,5.2,6.3,true,false,4.9,2.5,4.8,5.5,7.4,6.5,3.6,4.2,2.3,5.4,7.1,MODERATE
USR00057,15,FEMALE,STUDENT,SINGLE,TWITTER/X,5.3,4,6,true,WITHIN 5 MIN,8,8.4,6.8,4.6,2.2,false,true,3.1,3.1,3.5,5.9,4.6,5.8,9.1,7.2,3.7,0.7,5.4,HIGH
USR00058,31,FEMALE,STUDENT,MARRIED,INSTAGRAM,6.3,5,6,true,5-30 MIN,36,3.6,5.2,6.4,6.3,false,true,6.5,3.7,4.6,0.7,5.0,6.9,5.5,3.5,1.2,3.8,4.0,SEVERE
USR00059,37,MALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,TIKTOK,6.2,3,4,true,5-30 MIN,58,7.3,4.4,3.2,6.5,true,false,5.0,2.9,6.2,8.3,3.9,6.2,5.6,4.2,2.7,1.9,5.8,HIGH
USR00060,44,MALE,UNEMPLOYED,SINGLE,INSTAGRAM,8.1,4,3,true,WITHIN 5 MIN,71,5.4,6.5,6.3,6.9,true,false,6.6,4.5,6.2,6.5,6.1,7.8,2.3,4.1,0.0,6.1,6.1,HIGH
USR00061,27,FEMALE,STUDENT,IN A RELATIONSHIP,FACEBOOK,8.3,3,1,true,WITHIN 5 MIN,48,6.4,1.7,5.8,8.3,true,true,3.0,4.5,5.2,4.2,6.3,5.4,1.8,6.6,4.8,4.7,6.0,HIGH
USR00062,43,NON-BINARY,WORKING PROFESSIONAL,SINGLE,TIKTOK,3.7,1,6,true,5-30 MIN,5,7.6,3.4,7.8,3.6,false,true,8.2,3.8,2.0,7.3,5.5,7.2,3.3,5.4,1.1,2.7,5.3,HIGH
USR00065,38,FEMALE,FREELANCER,MARRIED,FACEBOOK,5.2,3,5,true,WITHIN 5 MIN,121,10.0,7.6,5.8,6.1,true,true,5.7,2.0,4.2,5.6,4.7,7.2,9.5,7.4,4.4,2.3,3.7,SEVERE
USR00066,25,MALE,STUDENT,SINGLE,INSTAGRAM,5.3,6,3,true,WITHIN 5 MIN,70,5.6,8.9,7.3,3.3,false,false,0.3,6.3,8.3,7.1,5.6,6.3,8.7,3.3,0.9,2.0,4.9,SEVERE
USR00068,18,NON-BINARY,WORKING PROFESSIONAL,MARRIED,TWITTER/X,3.4,1,4,true,WITHIN 5 MIN,5,6.9,6.8,5.1,5.2,true,false,4.8,3.0,7.0,2.9,4.1,6.1,3.5,3.8,8.0,1.2,6.0,MODERATE
USR00069,15,MALE,STUDENT,SINGLE,INSTAGRAM,3.1,2,4,true,WITHIN 5 MIN,5,5.4,4.2,3.1,6.2,false,true,3.4,6.3,5.7,5.9,6.2,7.5,2.0,10.0,4.2,1.4,7.7,MODERATE
USR00070,44,FEMALE,STUDENT,SINGLE,TIKTOK,4.6,1,5,true,WITHIN 5 MIN,48,4.5,5.3,4.4,4.0,true,true,6.6,6.6,3.1,5.1,9.6,9.4,5.3,4.1,1.3,3.1,6.6,MODERATE
USR00071,22,MALE,WORKING PROFESSIONAL,MARRIED,YOUTUBE,3.7,4,4,true,5-30 MIN,126,9.2,6.5,5.0,4.6,false,true,6.0,2.0,3.5,4.5,5.5,5.9,3.5,8.0,4.4,3.8,5.1,SEVERE
USR00072,38,FEMALE,STUDENT,IN A RELATIONSHIP,YOUTUBE,0.5,5,6,true,AFTER 30 MIN,31,4.2,8.8,1.0,4.5,true,true,5.7,3.4,4.2,3.0,3.5,7.8,6.7,3.6,7.8,4.3,7.1,MODERATE
USR00075,15,MALE,FREELANCER,SINGLE,YOUTUBE,5.3,6,1,true,AFTER 30 MIN,83,3.7,6.6,5.1,6.2,true,true,6.1,4.9,5.0,5.6,6.3,5.2,6.4,5.5,3.1,6.8,6.3,HIGH
USR00076,36,MALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,YOUTUBE,3.8,5,6,true,WITHIN 5 MIN,40,8.2,7.5,9.0,7.3,false,false,5.2,5.1,4.6,5.4,5.7,7.9,6.6,8.1,4.9,2.2,4.1,SEVERE
USR00077,19,FEMALE,STUDENT,SINGLE,YOUTUBE,3.2,2,2,false,5-30 MIN,86,5.5,5.5,6.3,3.8,true,true,4.9,3.7,3.1,5.8,5.9,5.1,5.5,5.5,3.7,2.8,6.1,MODERATE
USR00078,18,FEMALE,FREELANCER,SINGLE,TWITTER/X,6.2,2,4,true,AFTER 30 MIN,118,2.6,8.5,9.0,3.9,true,true,8.1,1.0,4.8,2.8,5.6,5.0,4.2,4.9,4.7,1.0,5.2,HIGH
USR00079,16,FEMALE,FREELANCER,SINGLE,TIKTOK,2.8,6,3,false,WITHIN 5 MIN,32,7.5,3.1,5.0,2.1,false,true,6.4,4.5,7.0,5.1,3.2,7.3,6.8,4.4,4.7,3.5,6.2,HIGH
USR00080,18,FEMALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,YOUTUBE,2.4,3,3,true,AFTER 30 MIN,73,4.5,6.5,5.9,7.2,true,false,6.3,3.8,2.7,10.0,7.3,4.2,7.9,10.0,1.8,1.9,8.4,LOW
USR00081,42,FEMALE,UNEMPLOYED,IN A RELATIONSHIP,TIKTOK,5.2,6,2,true,WITHIN 5 MIN,19,7.0,5.1,6.6,8.2,false,false,4.1,8.7,3.1,8.3,4.7,6.1,5.1,8.5,2.9,3.1,6.1,HIGH
USR00082,42,MALE,STUDENT,SINGLE,TIKTOK,5.0,2,3,true,WITHIN 5 MIN,88,3.1,7.1,5.0,7.6,false,true,9.0,3.8,3.0,6.4,6.8,6.4,3.1,4.7,0.7,4.7,4.4,SEVERE
USR00083,16,NON-BINARY,WORKING PROFESSIONAL,SINGLE,INSTAGRAM,3.0,2,3,true,WITHIN 5 MIN,32,7.0,3.5,5.0,1.2,false,true,2.5,3.1,1.6,5.0,3.3,3.0,1.9,8.8,3.8,0.0,6.9,MODERATE
USR00085,42,MALE,UNEMPLOYED,SINGLE,FACEBOOK,2.9,4,3,false,WITHIN 5 MIN,15,6.4,4.5,5.8,6.2,false,true,2.9,1.5,6.1,5.2,3.2,6.4,9.0,8.2,0.0,4.0,5.6,HIGH
USR00087,34,MALE,WORKING PROFESSIONAL,MARRIED,FACEBOOK,5.5,3,2,false,5-30 MIN,33,2.8,5.2,6.0,2.5,true,true,3.8,5.7,2.4,5.8,8.4,6.4,3.0,9.4,1.5,3.3,10.0,LOW
USR00088,16,MALE,STUDENT,SINGLE,INSTAGRAM,6.3,2,6,true,5-30 MIN,72,6.4,5.6,4.4,7.5,true,true,7.4,7.4,3.4,4.7,3.4,8.4,5.6,6.3,3.0,2.9,4.4,SEVERE
USR00089,42,MALE,STUDENT,IN A RELATIONSHIP,SNAPCHAT,4.3,6,8,true,WITHIN 5 MIN,77,5.1,8.7,8.4,7.8,true,true,7.0,5.0,1.2,6.1,6.1,7.4,4.8,5.4,0.0,4.5,4.3,SEVERE
USR00090,40,FEMALE,WORKING PROFESSIONAL,SINGLE,TIKTOK,2.6,1,4,false,AFTER 30 MIN,5,3.8,4.8,10.0,2.3,true,false,7.7,5.1,4.6,7.0,8.0,6.3,6.7,5.0,2.1,3.0,8.8,LOW
USR00091,20,MALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,TIKTOK,6.1,3,5,false,WITHIN 5 MIN,17,7.5,7.4,4.5,4.3,true,true,2.8,3.3,6.9,5.8,1.7,5.9,5.2,7.8,0.8,2.8,4.7,SEVERE
USR00092,24,FEMALE,STUDENT,SINGLE,FACEBOOK,10.2,6,2,true,WITHIN 5 MIN,31,6.3,6.7,5.0,4.4,false,false,4.8,6.4,1.8,6.2,5.5,6.2,6.2,5.8,2.5,0.5,5.0,HIGH
USR00094,32,FEMALE,UNEMPLOYED,SINGLE,INSTAGRAM,2.3,1,3,true,WITHIN 5 MIN,62,6.2,10.0,5.1,10.0,true,true,4.1,6.6,1.2,6.8,8.7,7.3,1.4,5.3,1.9,2.7,5.3,HIGH
USR00095,17,MALE,WORKING PROFESSIONAL,SINGLE,FACEBOOK,6.2,1,3,false,AFTER 30 MIN,9,9.0,4.8,4.8,0.0,false,true,5.9,5.8,7.1,7.9,3.9,5.8,2.1,2.7,2.0,2.5,8.0,LOW
USR00097,33,NON-BINARY,STUDENT,IN A RELATIONSHIP,TIKTOK,4.3,3,1,true,WITHIN 5 MIN,69,6.3,5.4,6.5,7.9,false,true,8.0,3.7,4.3,5.4,5.8,3.9,3.3,6.7,5.5,1.9,4.5,SEVERE
USR00098,33,MALE,WORKING PROFESSIONAL,SINGLE,FACEBOOK,3.9,1,4,true,5-30 MIN,47,0.5,2.5,5.1,7.8,false,true,7.3,3.8,6.0,4.6,4.1,9.3,5.4,7.0,3.9,5.2,7.0,MODERATE
USR00099,36,MALE,STUDENT,SINGLE,UNKNOWN,2.7,4,4,true,5-30 MIN,124,7.7,0.9,6.4,2.6,false,false,6.9,0.9,3.4,5.5,2.8,8.2,5.2,4.8,1.6,3.0,6.8,MODERATE
USR00100,38,FEMALE,UNKNOWN,MARRIED,TWITTER/X,1.2,3,6,true,AFTER 30 MIN,66,4.1,5.2,7.0,5.4,true,false,5.8,7.6,5.8,6.6,4.7,4.3,6.7,3.3,4.3,1.2,7.6,LOW
USR00101,18,FEMALE,STUDENT,IN A RELATIONSHIP,SNAPCHAT,5.5,3,3,false,5-30 MIN,63,3.8,4.9,4.2,7.1,true,true,5.5,7.8,3.6,9.0,5.6,6.0,2.7,8.5,5.1,0.0,7.4,MODERATE
USR00104,30,FEMALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,INSTAGRAM,3.7,1,2,false,5-30 MIN,42,6.0,2.8,3.3,9.2,false,true,3.8,2.1,6.0,10.0,2.5,6.1,6.7,2.7,5.0,2.9,6.5,HIGH
USR00105,31,FEMALE,STUDENT,SINGLE,FACEBOOK,4.7,3,5,true,WITHIN 5 MIN,65,4.8,7.4,3.9,8.6,false,true,5.7,0.1,6.3,3.7,5.6,5.2,3.2,5.4,2.7,1.3,4.3,SEVERE
USR00106,27,MALE,WORKING PROFESSIONAL,SINGLE,FACEBOOK,3.6,1,7,false,WITHIN 5 MIN,35,7.7,6.1,6.6,3.6,false,true,5.1,4.3,8.8,4.4,3.8,7.1,4.2,6.1,3.8,3.7,5.9,HIGH
USR00109,24,MALE,FREELANCER,SINGLE,YOUTUBE,5.1,4,3,false,5-30 MIN,7,9.1,4.8,4.6,1.9,false,false,4.6,4.1,3.9,5.6,7.9,8.5,5.0,6.5,6.1,5.0,7.6,LOW
USR00111,27,FEMALE,WORKING PROFESSIONAL,MARRIED,TIKTOK,7.7,1,9,true,WITHIN 5 MIN,56,6.9,3.0,0.0,2.7,false,false,5.8,3.2,6.1,8.9,2.4,5.7,7.2,2.6,4.0,1.5,7.2,HIGH
USR00112,18,FEMALE,WORKING PROFESSIONAL,IN A RELATIONSHIP,TIKTOK,5.8,4,4,true,AFTER 30 MIN,53,3.4,3.9,7.2,6.4,false,false,0.5,5.3,3.9,3.8,6.4,5.9,1.7,5.6,2.6,5.1,7.7,LOW
USR00114,29,FEMALE,WORKING PROFESSIONAL,SINGLE,INSTAGRAM,5.8,3,6,true,WITHIN 5 MIN,54,1.4,8.3,5.1,5.4,false,true,2.3,6.0,4.4,3.5,4.9,7.7,6.9,1.3,2.4,5.6,4.4,SEVERE
USR00118,43,FEMALE,STUDENT,IN A RELATIONSHIP,INSTAGRAM,0.5,5,4,false,5-30 MIN,79,8.4,5.7,4.6,2.8,false,true,5.8,3.4,4.6,2.0,6.2,8.2,5.2,5.4,2.1,3.5,6.7,MODERATE
USR00120,42,NON-BINARY,WORKING PROFESSIONAL,SINGLE,INSTAGRAM,4.9,1,1,false,WITHIN 5 MIN,66,5.6,8.7,8.2,10.0,false,false,7.0,3.7,5.2,4.1,7.5,6.8,5.3,0.6,0.4,0.7,4.3,SEVERE
USR00121,18,FEMALE,WORKING PROFESSIONAL,SINGLE,INSTAGRAM,7.5,3,3,false,5-30 MIN,95,5.3,3.4,4.2,5.2,false,false,6.1,8.7,5.0,5.9,5.1,5.8,7.9,8.0,0.3,4.0,7.1,LOW
USR00122,31,MALE,STUDENT,SINGLE,TIKTOK,1.2,1,4,true,AFTER 30 MIN,33,4.3,2.0,5.1,5.0,true,false,5.6,3.2,1.1,3.8,4.6,4.9,6.3,8.5,2.3,1.7,8.1,LOW
USR00123,19,FEMALE,STUDENT,MARRIED,TWITTER/X,0.5,1,4,false,5-30 MIN,46,5.1,5.9,4.7,4.0,false,true,6.5,4.7,8.0,7.0,6.9,6.4,6.1,6.7,5.1,4.3,8.0,LOW
USR00124,26,MALE,STUDENT,MARRIED,INSTAGRAM,5.2,4,4,true,5-30 MIN,5,2.6,4.4,6.7,4.7,true,true,4.0,5.8,1.4,6.8,5.6,4.7,5.2,1.7,4.5,3.9,6.3,MODERATE
USR00125,23,MALE,WORKING PROFESSIONAL,MARRIED,INSTAGRAM,2.7,3,4,false,WITHIN 5 MIN,59,6.1,5.5,4.6,4.3,true,false,6.1,5.1,5.8,2.6,6.2,5.8,7.3,6.5,5.1,2.8,6.2,MODERATE
USR00126,41,FEMALE,STUDENT,MARRIED,FACEBOOK,4.9,3,5,false,WITHIN 5 MIN,70,2.6,4.1,4.4,1.2,false,true,4.9,4.8,4.7,8.2,5.3,7.8,3.1,5.5,1.0,4.4,8.2,LOW
USR00127,41,FEMALE,WORKING PROFESSIONAL,SINGLE,INSTAGRAM,2.9,1,3,true,5-30 MIN,103,5.3,1.4,9.6,6.7,true,true,8.5,4.4,6.7,5.8,4.5,7.0,4.0,3.7,3.3,3.7,5.2,HIGH
USR00128,37,MALE,STUDENT,SINGLE,FACEBOOK,6.3,4,4,true,5-30 MIN,6,4.3,6.9,4.3,6.3,true,false,6.5,3.4,6.1,0.3,6.2,6.5,5.0,2.3,3.6,2.6,6.1,MODERATE
USR00129,26,MALE,WORKING PROFESSIONAL,MARRIED,FACEBOOK,3.8,3,4,false,AFTER 30 MIN,33,4.8,0.9,2.1,6.7,true,false,7.3,0.0,4.6,5.3,6.3,6.4,10.0,6.3,1.0,0.0,8.4,LOW
USR00130,30,FEMALE,STUDENT,MARRIED,YOUTUBE,4.2,4,7,false,5-30 MIN,58,4.6,5.1,6.9,5.5,true,false,9.6,3.3,3.0,9.4,2.1,6.7,3.7,7.7,0.5,0.4,8.1,LOW
USR00131,38,MALE,FREELANCER,UNKNOWN,TIKTOK,5.6,4,2,true,WITHIN 5 MIN,63,8.3,3.3,4.9,6.9,false,false,5.2,5.4,3.0,4.4,10.0,6.6,2.3,7.0,3.8,3.3,5.8,HIGH
USR00132,28,MALE,STUDENT,SINGLE,YOUTUBE,3.6,1,6,false,AFTER 30 MIN,80,4.2,6.6,4.8,2.1,true,true,10.0,5.2,4.8,7.1,5.9,8.0,6.5,4.3,0.7,3.4,6.8,MODERATE
USR00133,33,MALE,STUDENT,MARRIED,TWITTER/X,4.4,4,4,false,AFTER 30 MIN,116,0.0,5.5,3.5,3.4,true,true,8.0,3.7,2.7,6.4,9.3,6.6,8.6,9.0,2.4,1.8,7.5,LOW
USR00134,22,FEMALE,FREELANCER,SINGLE,UNKNOWN,7.3,3,4,false,WITHIN 5 MIN,60,7.8,3.5,5.3,3.2,false,true,3.7,3.6,2.4,5.4,5.5,6.6,7.0,6.1,4.5,6.0,6.6,HIGH
